Company,Symbol,Weight,      Price,Chg,% Chg,S&P 500 Holdings
General Motors Co,GM,0.125303,   33.21,-0.13,(-0.39%),
Arista Networks Inc,ANET,0.124253,   183.51,-2.51,(-1.35%),
Norfolk Southern Corp,NSC,0.124245,   213.05,8.92,-4.37%,
Trane Technologies Plc,TT,0.12406,   202.63,-1.1,(-0.54%),
Sempra,SRE,0.123343,   80.00,6.49,-8.83%,
Autozone Inc,AZO,0.123194,"   2,482.39",-39.7,(-1.57%),
Carrier Global Corp,CARR,0.122602,   55.26,0.87,-1.60%,
Autodesk Inc,ADSK,0.122315,   213.40,-0.12,(-0.06%),
Charter Communications Inc A,CHTR,0.122299,   470.01,14.28,-3.13%,
Ecolab Inc,ECL,0.12074,   165.48,-10.3,(-5.86%),
Cintas Corp,CTAS,0.119573,   514.52,-0.22,(-0.04%),
Edwards Lifesciences Corp,EW,0.119441,   72.29,-0.65,(-0.90%),
Paccar Inc,PCAR,0.119323,   86.89,0.6,-0.70%,
Hess Corp,HES,0.118866,   162.97,0.37,-0.22%,
Occidental Petroleum Corp,OXY,0.117736,   66.61,0.29,-0.44%,
Welltower Inc,WELL,0.117397,   84.85,0.06,-0.07%,
American International Group,AIG,0.116832,   61.82,0.14,-0.22%,
Public Storage,PSA,0.116484,   270.07,0.19,-0.07%,
Crown Castle Inc,CCI,0.114366,   98.75,1.22,-1.25%,
Archer Daniels Midland Co,ADM,0.114112,   79.30,0.11,-0.14%,
Kimberly Clark Corp,KMB,0.113427,   125.06,-0.07,(-0.05%),
Microchip Technology Inc,MCHP,0.113351,   77.74,-0.21,(-0.27%),
Constellation Brands Inc A,STZ,0.11265,   263.14,2.45,-0.94%,
Msci Inc,MSCI,0.112453,   527.71,-5.38,(-1.01%),
Monster Beverage Corp,MNST,0.112001,   56.66,0.39,-0.69%,
Williams Cos Inc,WMB,0.111918,   34.30,-0.13,(-0.38%),
Exelon Corp,EXC,0.111267,   41.39,-0.1,(-0.24%),
Metlife Inc,MET,0.111244,   65.90,-0.4,(-0.60%),
Aflac Inc,AFL,0.110949,   77.07,0.15,-0.20%,
American Electric Power,AEP,0.110381,   79.86,-0.37,(-0.47%),
Dominion Energy Inc,D,0.108575,   48.10,-0.53,(-1.09%),
Hilton Worldwide Holdings In,HLT,0.108317,   152.05,-1.31,(-0.85%),
Ross Stores Inc,ROST,0.107984,   116.66,-1.01,(-0.86%),
On Semiconductor,ON,0.107859,   94.74,0.14,-0.15%,
Capital One Financial Corp,COF,0.107248,   102.92,0.34,-0.34%,
Te Connectivity Ltd,TEL,0.106682,   127.06,0.09,-0.07%,
Fortinet Inc,FTNT,0.10618,   60.47,0.02,-0.04%,
Digital Realty Trust Inc,DLR,0.104547,   121.02,-7.04,(-5.49%),
Johnson Controls Internation,JCI,0.104258,   57.20,-0.36,(-0.62%),
Iqvia Holdings Inc,IQV,0.103998,   209.49,0.14,-0.07%,
Nucor Corp,NUE,0.103696,   155.49,0.82,-0.53%,
General Mills Inc,GIS,0.103367,   66.08,-0.03,(-0.04%),
Truist Financial Corp,TFC,0.103264,   28.69,0.02,-0.05%,
Realty Income Corp,O,0.102859,   53.86,0.13,-0.23%,
Simon Property Group Inc,SPG,0.102321,   117.00,2.75,-2.41%,
