Local time,Ask,Bid,AskVolume,BidVolume
04.09.2023 01:12:13.623 GMT+0300,4513.178,4512.667,0.0006,0.0006
04.09.2023 01:12:21.136 GMT+0300,4512.9490000000005,4512.429,0.0006,0.0006
04.09.2023 01:12:21.530 GMT+0300,4513.066,4512.546,0.0006,0.0006
04.09.2023 01:12:22.694 GMT+0300,4513.184,4512.661,0.0006,0.0006
04.09.2023 01:12:26.533 GMT+0300,4513.428,4512.911,0.0006,0.0006
04.09.2023 01:12:27.922 GMT+0300,4513.937,4513.417,0.0006,0.0006
04.09.2023 01:12:39.406 GMT+0300,4513.696,4513.227,0.0006,0.0006
04.09.2023 01:12:48.089 GMT+0300,4513.434,4512.92,0.0006,0.0006
04.09.2023 01:12:48.209 GMT+0300,4513.569,4513.04,0.0006,0.0006
04.09.2023 01:12:49.406 GMT+0300,4513.681,4513.167,0.0006,0.0006
04.09.2023 01:12:50.888 GMT+0300,4513.428,4512.92,0.0006,0.0006
04.09.2023 01:12:54.837 GMT+0300,4513.503,4513.097000000001,0.0006,0.0006
04.09.2023 01:12:56.347 GMT+0300,4513.431,4512.917,0.0006,0.0006
04.09.2023 01:12:56.792 GMT+0300,4513.253,4512.79,0.0006,0.0006
04.09.2023 01:12:57.123 GMT+0300,4513.181,4512.667,0.0006,0.0006
04.09.2023 01:12:57.653 GMT+0300,4513.31,4512.799,0.0006,0.0006
04.09.2023 01:12:57.803 GMT+0300,4513.1900000000005,4512.664000000001,0.0006,0.0006
04.09.2023 01:12:58.269 GMT+0300,4513.253,4512.781,0.0006,0.0006
04.09.2023 01:13:01.414 GMT+0300,4513.063,4512.531,0.0006,0.0006
04.09.2023 01:13:02.343 GMT+0300,4512.934,4512.432,0.0006,0.0006
04.09.2023 01:13:03.072 GMT+0300,4513.066,4512.54,0.0006,0.0006
04.09.2023 01:13:05.573 GMT+0300,4513.187,4512.673,0.0006,0.0006
04.09.2023 01:13:13.740 GMT+0300,4513.319,4512.802000000001,0.0006,0.0006
04.09.2023 01:13:18.963 GMT+0300,4513.4490000000005,4512.917,0.0006,0.0006
04.09.2023 01:13:22.363 GMT+0300,4513.31,4512.799,0.0006,0.0006
04.09.2023 01:13:22.726 GMT+0300,4513.383,4512.932,0.0006,0.0006
04.09.2023 01:13:23.132 GMT+0300,4513.307,4512.79,0.0006,0.0006
04.09.2023 01:13:24.124 GMT+0300,4513.428,4512.92,0.0006,0.0006
04.09.2023 01:13:24.786 GMT+0300,4513.31,4512.79,0.0006,0.0006
04.09.2023 01:13:31.400 GMT+0300,4513.133,4512.673,0.0006,0.0006
04.09.2023 01:13:32.178 GMT+0300,4513.4490000000005,4512.977,0.0006,0.0006
04.09.2023 01:13:32.781 GMT+0300,4513.298,4512.847000000001,0.0006,0.0006
04.09.2023 01:13:33.973 GMT+0300,4513.4400000000005,4512.9259999999995,0.0006,0.0006
04.09.2023 01:13:50.066 GMT+0300,4513.687,4513.17,0.0006,0.0006
04.09.2023 01:14:03.345 GMT+0300,4512.437,4511.977,0.0006,0.0006
04.09.2023 01:14:03.509 GMT+0300,4512.681,4512.1759999999995,0.0006,0.0006
04.09.2023 01:14:05.552 GMT+0300,4513.048,4512.347000000001,0.0006,0.0006
04.09.2023 01:14:05.783 GMT+0300,4512.931,4512.411,0.0006,0.0006
04.09.2023 01:14:06.207 GMT+0300,4512.807,4512.281,0.0006,0.0006
04.09.2023 01:14:06.865 GMT+0300,4512.937,4512.414000000001,0.0006,0.0006
04.09.2023 01:14:07.862 GMT+0300,4513.181,4512.679,0.0006,0.0006
04.09.2023 01:14:13.871 GMT+0300,4513.319,4512.802000000001,0.0006,0.0006
04.09.2023 01:14:16.232 GMT+0300,4513.184,4512.67,0.0006,0.0006
04.09.2023 01:14:20.399 GMT+0300,4513.437,4512.911,0.0006,0.0006
04.09.2023 01:14:21.299 GMT+0300,4512.9490000000005,4512.42,0.0006,0.0006
04.09.2023 01:14:22.894 GMT+0300,4512.633,4512.182,0.0006,0.0006
04.09.2023 01:14:27.908 GMT+0300,4512.446,4511.977,0.0006,0.0006
